medcode,readterm,ethnic
28887,Cornish - ethnic category 2001 census,White
98111,White British - ethnic category 2001 census,White
12446,White British,White
12436,Scottish - ethnic category 2001 census,White
110420,White:Eng/Welsh/Scot/NI/Brit - England and Wales 2011 census,White
12352,English - ethnic category 2001 census,White
110432,White: Scottish - Scotland ethnic category 2011 census,White
26310,Other white British ethnic group,White
26467,White Scottish,White
110694,White: other British - Scotland ethnic category 2011 census,White
12681,Welsh - ethnic category 2001 census,White
47601,Irish traveller,White
98213,White Irish - ethnic category 2001 census,White
42294,Northern Irish - ethnic category 2001 census,White
24270,Irish (NMO),White
24837,White Irish,White
110556,White: Irish - England and Wales ethnic category 2011 census,White
12532,Irish - ethnic category 2001 census,White
110687,White: Irish - Scotland ethnic category 2011 census,White
55223,Irish Traveller - ethnic category 2001 census,White
12412,Italian - ethnic category 2001 census,White
28936,Other republics former Yugoslavia - ethnic categ 2001 census,White
12591,Other White or White unspecified ethnic category 2001 census,White
47949,Greek Cypriot (NMO),White
110407,White: other White backgrd- Eng+Wales ethnic cat 2011 census,White
46956,Bosnian - ethnic category 2001 census,White
32126,Turkish (NMO),White
28973,Commonwealth (Russian) Indep States - ethn categ 2001 census,White
25422,Albanian - ethnic category 2001 census,White
28866,Croatian - ethnic category 2001 census,White
111386,White: Gypsy/Irish Traveller - Eng+Wales eth cat 2011 census,White
55113,Traveller - ethnic category 2001 census,White
110465,White: Polish - Scotland ethnic category 2011 census,White
12433,Baltic Estonian/Latvian/Lithuanian - ethn categ 2001 census,White
96789,Other New Zealand ethnic group,White
101787,Slovak,White
45008,New Zealand ethnic groups,White
42290,Gypsy/Romany - ethnic category 2001 census,White
45955,Greek (NMO),White
26341,Kosovan - ethnic category 2001 census,White
99808,Romanian,White
32066,Turkish/Turkish Cypriot (NMO),White
12421,Other White background - ethnic category 2001 census,White
110695,White: other White ethnic grp- Scotland ethnic cat 2011 cens,White
12467,Polish - ethnic category 2001 census,White
45947,Greek/Greek Cypriot (NMO),White
32413,Turkish Cypriot - ethnic category 2001 census,White
12633,Other European (NMO),White
12444,Other white ethnic group,White
12769,Greek Cypriot - ethnic category 2001 census,White
101219,Portuguese,White
99788,Bulgarian,White
32069,Turkish Cypriot (NMO),White
47074,Serbian - ethnic category 2001 census,White
71425,New Zealand ethnic group NOS,White
12746,Turkish - ethnic category 2001 census,White
32778,Cypriot (part not stated) - ethnic category 2001 census,White
12355,Greek - ethnic category 2001 census,White
40102,Ulster Scots - ethnic category 2001 census,White
12402,Oth White European/European unsp/Mixed European 2001 census,White
26391,Mixed Irish and other White - ethnic category 2001 census,White
22467,White,White
28900,Other mixed White - ethnic category 2001 census,White
35459,"Other ethnic, mixed white orig",White
110421,Mixed: White+Black African - Eng+Wales eth cat 2011 census,Mixed
32425,Black Caribbean and White,Mixed
12742,White and Black Caribbean - ethnic category 2001 census,Mixed
12437,White and Black African - ethnic category 2001 census,Mixed
110651,Mixed: White and Black African - NI ethnic cat 2011 census,Mixed
110661,Mixed: White and Black Caribbean - NI ethnic cat 2011 census,Mixed
32443,Black African and White,Mixed
110445,Mixed: White+Black Caribbean - Eng+Wales eth cat 2011 census,Mixed
110471,Mixed: White and Asian - NI ethnic category 2011 census,Mixed
12638,White and Asian - ethnic category 2001 census,Mixed
32401,"Other ethnic, Asian/White orig",Mixed
110652,Mixed: White+Asian - Eng+Wales ethnic category 2011 census,Mixed
38097,E Afric Asian/Indo-Carib (NMO),Mixed
35350,Black - other Asian,Mixed
48005,Black Indian sub-continent,Mixed
47965,Black E Afric Asia/Indo-Caribb,Mixed
57753,Black East African Asian,Mixed
12795,Black and Asian - ethnic category 2001 census,Mixed
49940,Black and Chinese - ethnic category 2001 census,Mixed
32399,Caribbean Asian - ethnic category 2001 census,Mixed
32165,Other Black - Black/Asian orig,Mixed
57763,Black Indo-Caribbean,Mixed
12873,Other Mixed background - ethnic category 2001 census,Mixed
47005,Asian and Chinese - ethnic category 2001 census,Mixed
12696,"Other ethnic, mixed origin",Mixed
32408,Other Mixed or Mixed unspecified ethnic category 2001 census,Mixed
110536,Mixed: other Mixed/multiple ethnic backgrd - NI 2011 census,Mixed
110696,Mixed/multiple ethnic grps: any- Scot ethnic cat 2011 census,Mixed
32420,"Other ethnic, other mixed orig",Mixed
12706,Chinese and White - ethnic category 2001 census,Mixed
40110,Black and White - ethnic category 2001 census,Mixed
47401,"Other ethnic, Black/White orig",Mixed
25623,Other Black - Black/White orig,Mixed
111368,"Asian: Indian, Indian Scot/Indian Brit- Scotland 2011 census",Indian
12414,Indian or British Indian - ethnic category 2001 census,Indian
26392,Punjabi - ethnic category 2001 census,Indian
110422,Asian or Asian British: Indian - NI ethnic cat 2011 census,Indian
39696,Indian sub-continent (NMO),Indian
110477,Asian/Asian Brit: Indian - Eng+Wales ethnic cat 2011 census,Indian
25920,Indian,Indian
12482,Indian,Indian
110460,Asian: Pakistani/Pakistani Scot/Pakistani Brit- Scot 2011,Pakistani
110538,Asian/Asian British: Pakistani - NI ethnic cat 2011 census,Pakistani
64133,Kashmiri - ethnic category 2001 census,Pakistani
24690,Pakistani,Pakistani
12460,Pakistani or British Pakistani - ethnic category 2001 census,Pakistani
