cohort,var,var1,source,code,description
ckd,CKD,ckd,cprd_cref,12479,Chronic kidney disease stage 4
ckd,CKD,ckd,cprd_cref,12566,Chronic kidney disease stage 3
ckd,CKD,ckd,cprd_cref,12585,Chronic kidney disease stage 5
ckd,CKD,ckd,cprd_cref,94793,Chronic kidney disease stage 3 with proteinuria
ckd,CKD,ckd,cprd_cref,94965,Chronic kidney disease stage 3A
ckd,CKD,ckd,cprd_cref,95122,Chronic kidney disease stage 4 with proteinuria
ckd,CKD,ckd,cprd_cref,95123,Chronic kidney disease stage 3 without proteinuria
ckd,CKD,ckd,cprd_cref,95175,Chronic kidney disease stage 3A without proteinuria
ckd,CKD,ckd,cprd_cref,95177,Chronic kidney disease stage 3B without proteinuria
ckd,CKD,ckd,cprd_cref,95178,Chronic kidney disease stage 3B with proteinuria
ckd,CKD,ckd,cprd_cref,95179,Chronic kidney disease stage 3B
ckd,CKD,ckd,cprd_cref,95405,Chronic kidney disease stage 5 without proteinuria
ckd,CKD,ckd,cprd_cref,95406,Chronic kidney disease stage 4 without proteinuria
ckd,CKD,ckd,cprd_cref,95408,Chronic kidney disease stage 3A with proteinuria
ckd,CKD,ckd,cprd_cref,95508,Chronic kidney disease stage 5 with proteinuria
ckd,CKD,ckd,hes_apc,N18.3,"Chronic kidney disease, stage 3"
ckd,CKD,ckd,hes_apc,N18.4,"Chronic kidney disease, stage 4"
ckd,CKD,ckd,hes_apc,N18.5,"Chronic kidney disease, stage 5"
ckd,CKD,ckd,hes_apc,N18.6,End stage renal disease
cvd,Aortic Disease,ad,cprd_cref,100195,Endovascular stenting for aortic aneurysm of bifurcation NEC
cvd,Aortic Disease,ad,cprd_cref,101379,Infrarenal abdominal aortic aneurysm
cvd,Aortic Disease,ad,cprd_cref,102719,"[X]Aortic aneurysm of unspecified site, nonruptured"
cvd,Aortic Disease,ad,cprd_cref,102725,"[X]Aortic aneurysm of unspecified site, ruptured"
cvd,Aortic Disease,ad,cprd_cref,104467,Abdominal aortic aneurysm screen ultrasound scan abnormal
cvd,Aortic Disease,ad,cprd_cref,105857,Prov of info about abdo aortic aneurysm screening programme
cvd,Aortic Disease,ad,cprd_cref,106780,Endovascular insertion stent for suprarenal aortic aneurysm
